area,bbox_x,bbox_y,bbox_width,bbox_height,predicted_iou,point_coords_x,point_coords_y,stability_score,Y
13281,0,345,147,130,1.0425347089767456,110.0,442.5,0.9853600263595581,0
10429,503,387,136,91,1.0246386528015137,570.0,397.5,0.9916976690292358,0
1394,6,272,62,42,1.0241703987121582,10.0,307.5,0.9611855745315552,0
41915,483,133,156,345,1.0141769647598267,630.0,337.5,0.9907145500183105,0
2882,186,316,37,78,0.99662184715271,190.0,322.5,0.9696245789527893,0
1477,137,29,65,26,0.9957072734832764,150.0,52.5,0.9845430254936218,0
6054,414,388,122,90,0.9925907850265503,490.0,427.5,0.9824820160865784,0
2152,0,185,18,150,0.9920802712440491,10.0,277.5,0.9865865111351013,0
832,358,344,59,16,0.9919648766517639,410.0,352.5,0.9892473220825195,0
4398,5,290,133,149,0.9912389516830444,110.0,397.5,0.9693306684494019,0
649,388,320,45,15,0.9885273575782776,410.0,322.5,0.9892966151237488,0
727,323,323,49,16,0.984778881072998,350.0,337.5,0.9863387942314148,0
3962,483,159,74,88,0.9829242825508118,490.0,172.5,0.9889447093009949,0
1497,91,382,47,57,0.981819212436676,110.0,397.5,0.9639344215393066,0
1429,547,46,28,87,0.9810147881507874,570.0,82.5,0.9710943102836609,0
2924,5,289,62,73,0.9805018305778503,30.0,292.5,0.9739776849746704,0
664,476,454,33,25,0.9784553647041321,490.0,472.5,0.983582079410553,0
2886,0,183,27,152,0.977965235710144,10.0,217.5,0.9590247273445129,0
1347,457,369,69,23,0.9778991937637329,510.0,382.5,0.9852833151817322,0
1138,326,45,66,22,0.9734615087509155,370.0,52.5,0.9791304469108582,0
5256,489,133,133,91,0.9720657467842102,590.0,202.5,0.9828301668167114,0
3268,488,226,43,107,0.9714733958244324,490.0,262.5,0.9782016277313232,0
4422,149,315,74,80,0.9676706790924072,190.0,337.5,0.984974205493927,0
914,129,388,38,29,0.9599421620368958,150.0,412.5,0.9730312824249268,0
2902,69,281,78,39,0.9560476541519165,70.0,292.5,0.9697073101997375,0
917,117,341,54,18,0.9553583860397339,130.0,352.5,0.9837837815284729,0
717,78,357,47,26,0.9536433815956116,110.0,367.5,0.9617486596107483,0
1268,456,274,35,58,0.9524074196815491,470.0,292.5,0.9658914804458618,0
1633,129,388,38,75,0.9523847103118896,150.0,412.5,0.9733171463012695,1
594,47,202,16,37,0.9521719813346863,50.0,202.5,0.9882550239562988,0
1695,273,326,49,89,0.9506106376647949,310.0,337.5,0.9818925261497498,0
14044,0,40,76,240,0.9467577934265137,70.0,172.5,0.9581430554389954,0
2365,88,418,59,50,0.944007158279419,110.0,427.5,0.9625779390335083,0
1089,362,403,54,76,0.943371593952179,370.0,412.5,0.9682971239089966,0
1894,126,358,51,105,0.9412423968315125,170.0,382.5,0.9584847092628479,0
3201,432,274,58,58,0.9407745599746704,450.0,307.5,0.979522168636322,0
1259,109,281,38,36,0.938744843006134,130.0,307.5,0.9649532437324524,0
4270,67,281,81,60,0.9334075450897217,90.0,292.5,0.9805240035057068,0
862,125,358,52,18,0.9274587035179138,170.0,367.5,0.9634703397750854,0
508,251,0,41,84,0.9259025454521179,270.0,37.5,0.9558541178703308,0
1433,70,340,55,43,0.923764705657959,110.0,367.5,0.9545454382896423,0
1077,71,334,60,23,0.9222832918167114,90.0,352.5,0.9571558833122253,0
644,75,341,41,16,0.9216805696487427,90.0,352.5,0.9588414430618286,0
931,417,408,16,71,0.9205547571182251,430.0,427.5,0.9519331455230713,0
1559,244,457,82,21,0.9110148549079895,290.0,472.5,0.9565764665603638,1
1368,562,389,77,30,0.90558260679245,630.0,412.5,0.9620344042778015,0
1603,69,282,43,38,0.9045382142066956,110.0,307.5,0.9630769491195679,0
1614,68,71,8,208,0.8965159058570862,70.0,262.5,0.9530686140060425,0
36501,0,0,515,91,1.030125617980957,250.0,82.5,0.9611851572990417,0
19048,510,222,129,172,1.021018385887146,630.0,292.5,0.9896594882011414,0
19035,0,272,146,202,1.017022967338562,30.0,292.5,0.9844645857810974,0
8629,488,133,135,200,1.0120598077774048,490.0,262.5,0.9687002301216125,0
2843,0,460,245,19,0.9928272366523743,130.0,472.5,0.969473659992218,0
459,336,323,36,14,0.9907660484313965,350.0,337.5,0.9827957153320312,0
